landslide,slope,aspect,elevation,curvature,twi,rainfall,ndvi,soil_type,lithology,lulc,dist_roads,dist_streams,dist_faults
0,35.56,51.73,2387.0,0.92,5.201,2108.2,0.402,Cambisols,Phyllite,Agriculture,604.74,915.23,2409.21
1,33.21,126.83,1974.0,-3.069,6.363,2075.6,0.392,Leptosols,Phyllite,Agriculture,120.94,392.3,2895.46
0,33.56,56.6,4509.0,0.674,3.959,1310.2,0.696,Cambisols,Gneiss,Forest,8266.83,735.61,2844.48
0,20.42,334.17,1715.0,-2.298,6.724,1939.8,0.872,Cambisols,Limestone,Forest,1497.37,183.62,14655.14
1,13.44,148.07,2033.0,-0.707,7.506,2288.3,0.888,Leptosols,Phyllite,Forest,325.4,46.85,691.94
1,31.21,309.85,1696.0,1.405,3.857,1939.8,0.826,Leptosols,Shale,Agriculture,162.11,659.78,10798.33
1,35.75,329.72,1733.0,0.651,3.583,2301.9,0.287,Leptosols,Shale,Agriculture,747.23,115.62,4305.01
0,17.13,108.95,2048.0,-2.102,7.732,1939.8,0.9,Cambisols,Schist,Scrub,654.48,82.65,565.02
0,36.02,91.25,1534.0,2.137,3.965,1270.7,-0.306,Leptosols,Gneiss,Barren,3049.0,1352.54,2282.88
1,35.69,282.43,1618.0,-4.122,5.854,1743.9,0.966,Regosols,Granite,Forest,527.77,78.75,2649.53
0,48.93,17.75,1456.0,-0.615,6.919,1310.2,-0.123,Leptosols,Quartzite,Barren,621.88,24.8,1014.1
1,26.72,39.04,2213.0,-1.141,5.125,2279.6,0.805,Leptosols,Granite,Agriculture,93.67,504.92,363.77
0,3.67,221.01,192.0,0.616,7.882,1333.1,0.493,Fluvisols,Alluvium,Agriculture,58.25,113.08,11006.03
0,1.65,202.26,225.0,-0.182,7.516,1618.8,0.376,Cambisols,Alluvium,Agriculture,9.52,130.16,8432.83
0,28.52,218.9,1492.0,0.68,5.962,2301.9,0.668,Regosols,Shale,Agriculture,1324.33,388.71,249.11
0,54.98,84.66,1044.0,1.242,3.24,2041.1,0.657,Cambisols,Sandstone,Scrub,252.34,361.45,6053.25
1,41.19,50.14,2730.0,-4.343,6.673,2301.9,0.086,Cambisols,,Builtup,141.47,278.2,4036.1
1,27.53,158.16,1541.0,-1.717,8.107,2200.5,0.038,Cambisols,Phyllite,Barren,985.29,43.39,15478.78
1,36.83,130.83,1511.0,0.711,7.045,1455.6,0.736,Cambisols,Shale,Forest,481.44,5.51,4247.26
0,25.81,268.67,3243.0,-0.208,7.235,1031.6,-0.192,Leptosols,Granite,Barren,4570.89,16.39,6454.45
0,43.18,198.76,3557.0,3.227,5.184,1235.5,0.018,Leptosols,Gneiss,Barren,1563.45,959.91,5155.59
0,20.66,76.38,3082.0,-2.017,7.843,1270.7,0.545,Leptosols,Gneiss,Grassland,9345.24,171.69,209.93
1,40.27,79.87,1569.0,-3.411,6.635,2288.3,0.707,Cambisols,Phyllite,Forest,2756.05,147.17,220.46
0,27.56,87.13,1034.0,1.963,5.105,1809.4,0.812,Luvisols,Sandstone,Forest,4337.75,7.09,1770.34
0,29.48,145.72,1489.0,-3.533,7.742,2195.0,0.654,Luvisols,Sandstone,Forest,3080.88,52.87,30.85
1,30.94,62.19,1786.0,-5.235,9.602,1801.2,0.131,Leptosols,Limestone,Barren,1642.64,81.32,754.3
0,5.97,119.62,609.0,-1.396,8.039,1691.4,0.59,Fluvisols,Alluvium,Agriculture,77.83,451.19,5029.56
0,23.47,63.23,180.0,-0.771,6.184,1982.4,1.0,Luvisols,Sandstone,Forest,980.24,239.07,1019.02
0,8.56,104.41,918.0,-0.455,7.07,2087.3,0.717,Cambisols,Sandstone,Forest,6823.83,125.43,57.62
0,20.26,100.5,1201.0,2.422,4.622,1352.4,0.837,Cambisols,Phyllite,Forest,247.14,499.31,2141.44
1,27.11,229.43,1617.0,-3.672,6.394,1964.2,0.649,Regosols,Phyllite,Scrub,411.23,97.97,2803.91
1,30.4,64.62,1231.0,1.963,4.721,2151.2,0.711,Leptosols,Schist,Grassland,73.36,228.25,1147.79
1,50.49,231.82,1404.0,-0.519,6.684,2108.3,0.807,Cambisols,Phyllite,Scrub,709.59,42.49,961.96
0,18.33,274.36,2120.0,3.141,4.598,1352.4,0.524,Cambisols,Shale,Agriculture,315.5,361.58,1533.16
0,27.92,63.17,2948.0,0.339,4.652,1132.9,-0.205,Leptosols,Gneiss,Barren,3219.67,278.07,1621.29
1,25.48,210.98,1542.0,-1.235,6.277,1921.7,0.966,Regosols,Phyllite,Forest,268.11,123.81,2205.5
1,32.49,62.84,2027.0,-2.597,7.159,2279.6,0.731,Leptosols,Limestone,Forest,843.87,170.72,244.02
1,22.62,173.26,1502.0,-0.251,8.151,2151.2,1.0,Cambisols,Shale,Scrub,35.83,45.99,7320.76
0,9.37,59.39,1018.0,1.354,8.703,2000.6,0.885,Cambisols,Shale,Scrub,1473.31,458.03,4931.22
1,27.21,64.4,1589.0,-2.196,6.741,2201.8,0.85,Cambisols,Quartzite,Forest,97.23,274.56,1897.13
0,24.27,13.59,1598.0,-0.896,6.44,1761.1,0.554,Leptosols,Shale,Forest,288.49,68.75,3107.76
0,11.93,248.71,441.0,-0.3,7.183,1432.6,0.596,Fluvisols,Alluvium,Agriculture,70.14,35.18,19335.34
1,36.28,142.14,1037.0,-1.085,6.243,2279.6,1.0,Cambisols,Schist,Scrub,1217.39,151.67,160.28
1,31.86,234.6,538.0,0.618,5.246,2087.3,0.921,Cambisols,Shale,Forest,242.03,605.18,219.37
1,45.08,83.74,1249.0,-1.121,5.786,1939.8,0.627,Cambisols,Limestone,Forest,3902.49,35.23,4516.03
0,22.95,32.18,1790.0,-2.166,8.159,1214.1,0.552,Cambisols,Quartzite,Grassland,6964.3,94.29,4276.52
1,24.03,265.31,1498.0,-1.682,7.683,2200.5,0.806,Regosols,Phyllite,Scrub,68.04,22.69,1872.24
0,22.64,260.49,1058.0,-1.417,6.857,1954.2,0.3,Cambisols,Limestone,Barren,265.63,160.46,9212.94
0,38.99,94.08,5555.0,-2.069,7.633,1132.9,0.02,Leptosols,Schist,Snow,480.6,70.43,11074.21
1,19.54,202.85,1784.0,-3.092,8.498,1477.7,0.759,Luvisols,Phyllite,Forest,151.22,34.16,313.25
0,50.94,314.49,1584.0,-1.342,3.741,2288.3,0.744,Regosols,Quartzite,Forest,489.93,397.68,3629.61
1,33.21,177.15,1383.0,0.692,4.542,1921.7,0.218,Regosols,Schist,Agriculture,120.47,994.3,324.45
0,0.9,-1.0,421.0,1.236,9.257,1432.6,0.435,Fluvisols,Alluvium,Agriculture,255.29,1130.22,10201.57
0,22.01,344.91,500.0,0.421,6.175,2238.0,0.647,,Shale,Forest,1985.08,81.29,101.96
0,1.95,39.87,261.0,0.331,8.717,1432.6,0.453,Cambisols,Alluvium,Agriculture,460.81,17.24,6218.31
1,31.3,258.13,1146.0,-0.302,6.615,1352.4,0.526,Cambisols,Quartzite,Agriculture,11.6,82.48,22.79
0,12.62,138.02,2128.0,-2.26,6.045,2108.3,0.874,Regosols,Quartzite,Forest,436.36,827.58,1626.3
1,25.58,214.76,1582.0,0.78,3.605,1352.4,0.546,Leptosols,Quartzite,Agriculture,433.04,863.1,1987.8
0,19.99,283.06,4033.0,0.422,6.413,1245.1,-0.056,Regosols,Quartzite,Snow,228.22,520.96,3420.35
1,41.59,82.76,1450.0,-2.813,6.141,2075.6,0.487,Cambisols,Shale,Agriculture,1033.83,602.87,2042.59
1,35.89,136.64,1495.0,-3.352,7.75,2200.5,0.576,Cambisols,Limestone,Agriculture,608.62,131.67,4487.26
0,11.05,329.79,3260.0,-1.942,7.606,1245.1,-0.261,Leptosols,Schist,Barren,10164.8,390.86,14575.24
0,10.81,351.39,1095.0,-0.345,8.952,2087.3,0.476,Luvisols,Sandstone,Forest,12885.18,11.61,1662.42
1,35.38,190.18,1883.0,1.549,6.204,1979.2,0.405,Regosols,Shale,Builtup,98.6,1849.73,146.98
0,27.72,313.59,983.0,-1.149,5.581,1964.2,0.441,Cambisols,Phyllite,Agriculture,342.79,459.77,2711.88
0,7.15,99.25,328.0,-1.103,6.857,1651.8,0.688,Cambisols,Alluvium,Forest,38.69,335.75,11186.06
0,7.81,111.87,723.0,1.449,6.486,2000.6,0.846,Cambisols,Shale,Forest,7299.76,1855.88,1905.02
0,36.07,314.31,2005.0,-0.503,7.172,1763.3,0.593,Regosols,Phyllite,Agriculture,1324.8,26.71,34.13
0,0.67,-1.0,233.0,0.998,9.062,1691.4,0.857,Cambisols,Alluvium,Forest,309.74,339.85,12430.28
1,67.09,352.03,2022.0,-10.13,6.815,2301.9,0.354,Luvisols,Phyllite,Grassland,272.06,9.72,462.63
1,17.73,323.4,1222.0,-1.38,6.286,2301.9,0.807,Cambisols,Phyllite,Scrub,376.68,606.1,1656.8
1,20.97,39.59,1546.0,-0.081,7.316,2331.4,0.672,Cambisols,Sandstone,Agriculture,383.09,62.41,2992.42
0,29.41,71.62,1154.0,4.061,5.49,2429.7,0.957,Cambisols,Quartzite,Forest,415.78,370.41,4068.86
0,37.77,193.89,3404.0,2.588,7.345,1102.0,0.372,,Gneiss,Grassland,543.71,104.9,243.22
1,24.81,17.53,1687.0,0.922,5.867,2200.5,0.91,Regosols,Limestone,Forest,1201.8,408.54,1809.17
0,36.41,249.45,692.0,1.574,4.325,1964.3,0.957,Regosols,Limestone,Scrub,762.38,492.69,1180.28
1,44.01,245.53,1678.0,1.041,3.79,2288.3,0.532,Leptosols,Shale,Agriculture,62.14,727.58,3997.17
0,47.39,146.69,3287.0,-2.125,5.172,1371.6,0.619,Regosols,Gneiss,Grassland,2283.53,735.3,1418.82
0,0.7,-1.0,180.0,-1.136,10.316,1348.6,0.576,Fluvisols,Alluvium,Builtup,31.86,36.56,16287.96
0,23.01,193.91,802.0,2.442,5.907,2075.6,0.684,Cambisols,Quartzite,Agriculture,5.1,60.16,1146.12
0,28.08,24.89,983.0,1.011,4.826,1777.2,0.807,,Schist,Forest,945.38,482.04,68.44
1,29.31,247.18,957.0,1.143,4.564,1964.2,0.653,,Phyllite,Scrub,1137.92,589.23,942.17
0,14.52,145.04,1382.0,1.274,5.927,2151.2,0.892,Cambisols,Quartzite,Forest,700.91,192.89,3570.31
1,32.23,282.88,1264.0,1.272,5.113,2301.9,0.166,Regosols,Shale,Water,350.9,311.81,1222.97
1,25.38,25.73,1479.0,-4.793,8.834,1921.7,0.583,Regosols,Quartzite,Scrub,1935.37,26.92,450.57
0,57.14,89.17,4248.0,-3.557,6.472,1459.2,-0.151,Cambisols,Granite,Barren,5149.47,183.79,986.83
0,22.44,43.96,2167.0,-0.802,5.716,1455.6,0.572,Cambisols,Granite,Agriculture,368.75,210.1,3954.19
1,35.72,127.2,2110.0,-4.215,6.94,1502.9,0.855,Cambisols,Phyllite,Forest,1188.58,14.03,10132.6
1,17.43,287.13,1251.0,-0.862,7.782,2345.3,0.537,Luvisols,Shale,Scrub,459.28,155.15,2397.48
1,31.53,36.53,5055.0,-0.84,7.932,1429.8,-0.044,Leptosols,Schist,Barren,8093.95,135.09,3302.69
0,11.94,27.07,1668.0,1.669,8.091,2301.9,0.572,Leptosols,Shale,Forest,778.72,44.04,2576.48
1,33.94,97.18,1738.0,-3.009,6.222,2429.7,0.589,Leptosols,Limestone,Scrub,279.35,19.1,919.91
0,63.26,47.8,1934.0,-1.73,5.136,1492.1,0.649,Regosols,Phyllite,Forest,171.85,312.53,214.61
0,7.3,321.76,336.0,-2.131,7.412,1299.0,0.608,Fluvisols,Alluvium,Agriculture,270.26,340.16,19105.61
0,27.96,16.69,4319.0,-0.55,5.524,1213.9,0.776,Leptosols,Gneiss,Forest,2499.47,163.61,5885.5
0,21.09,266.0,684.0,0.249,4.107,2087.3,0.087,Cambisols,Sandstone,Builtup,907.2,182.42,368.63
0,27.5,336.78,4378.0,-1.297,7.456,1132.9,-0.234,Leptosols,Quartzite,Snow,2644.42,10.44,8432.67
0,38.53,220.26,547.0,0.495,5.694,1982.4,0.649,Cambisols,Sandstone,Scrub,245.72,983.05,546.08
0,19.08,173.14,2199.0,-0.023,3.474,1966.5,0.402,Cambisols,Quartzite,Agriculture,1544.83,481.14,135.94
0,39.49,54.96,3707.0,-3.046,3.985,1312.7,-0.248,Regosols,Granite,Barren,9621.24,1037.57,11801.06
0,39.11,354.23,1623.0,5.866,2.395,1966.5,0.825,Cambisols,Limestone,Forest,2480.77,2057.63,3399.94
1,40.7,195.41,1936.0,-2.086,5.789,2151.2,0.667,Cambisols,Shale,Agriculture,391.13,260.12,1625.7
1,35.41,76.89,1419.0,-1.779,5.15,1982.4,0.264,Regosols,Sandstone,Builtup,349.33,444.44,248.4
0,48.7,301.12,2107.0,-1.064,4.47,1954.2,0.66,Regosols,Quartzite,Agriculture,630.77,66.76,5222.82
1,27.44,314.15,1887.0,0.983,5.316,1979.2,0.903,Cambisols,Shale,Forest,34.22,474.5,3900.45
0,22.72,134.57,2120.0,-3.212,7.33,1979.2,0.95,Regosols,Phyllite,Forest,1877.97,3.01,490.78
1,31.47,271.13,1221.0,-1.759,7.492,1743.9,0.964,Cambisols,Schist,Scrub,812.8,147.23,2991.35
0,24.68,4.56,4039.0,0.018,6.209,1514.4,-0.207,Regosols,Quartzite,Barren,2065.02,255.41,6906.92
1,33.23,272.21,1577.0,-4.464,6.842,1214.1,0.794,,Schist,Forest,773.51,134.34,1051.32
0,22.49,232.64,2274.0,-1.715,7.056,1492.1,0.6,Cambisols,Schist,Forest,1305.75,38.61,1966.17
1,34.06,45.22,2068.0,-5.333,7.822,1954.2,0.764,Cambisols,Quartzite,Forest,136.87,177.26,613.79
0,24.57,54.95,1892.0,0.649,5.105,1801.2,0.908,Luvisols,Quartzite,Forest,1155.02,175.75,7767.33
0,19.47,191.06,879.0,0.221,5.168,2000.6,0.441,Luvisols,Sandstone,Agriculture,236.11,504.67,436.91
0,53.02,150.46,1994.0,2.201,3.548,1141.7,-0.045,Leptosols,Quartzite,Barren,574.57,1888.15,3248.77
1,20.79,226.85,879.0,1.422,5.36,2345.3,0.557,Regosols,Shale,Agriculture,2429.79,759.68,3417.25
0,40.75,31.97,2692.0,-1.792,5.509,1761.1,0.261,Cambisols,Shale,Agriculture,434.2,29.91,665.17
1,73.81,51.26,1645.0,-1.401,4.399,2301.9,0.172,Leptosols,Shale,Builtup,197.82,105.22,4268.91
1,18.21,261.19,2642.0,-1.257,7.762,2200.5,0.975,Regosols,Quartzite,Scrub,220.93,30.33,807.6
0,29.69,112.21,1605.0,1.026,5.399,1801.2,0.782,Cambisols,Schist,Forest,1233.25,134.41,802.28
1,36.47,23.17,1661.0,-4.63,8.487,1812.7,0.846,Cambisols,Schist,Forest,366.21,6.82,255.95
1,25.31,162.86,2036.0,-2.351,7.169,2075.6,0.587,Regosols,Shale,Agriculture,22.23,18.6,6197.31
0,18.81,24.52,2304.0,0.341,5.753,1270.7,-0.21,Cambisols,Schist,Barren,11173.59,114.26,10752.3
0,29.64,225.84,2108.0,-1.972,4.093,1213.9,0.693,Leptosols,Gneiss,Grassland,6699.59,356.41,1751.44
0,1.05,186.48,239.0,-1.094,10.279,1879.0,0.742,Fluvisols,Alluvium,Agriculture,121.53,36.74,16250.51
1,41.74,97.72,1777.0,3.363,2.874,2301.9,0.295,Leptosols,Limestone,Agriculture,44.24,629.96,1626.74
0,51.98,124.64,834.0,-2.672,4.951,1966.5,0.576,Cambisols,Granite,Forest,582.58,385.83,1965.07
1,37.63,141.31,1278.0,1.666,5.747,1804.3,0.434,Regosols,Sandstone,Builtup,105.34,191.34,2424.2
1,15.52,200.37,1394.0,-0.294,6.386,1812.7,0.231,Leptosols,Shale,Agriculture,212.33,10.16,1683.43
0,26.98,196.82,4949.0,-0.293,6.135,1310.2,0.382,Regosols,Granite,Grassland,3009.28,547.09,7281.18
0,35.96,332.89,2927.0,-0.138,6.806,1514.4,-0.094,Regosols,Gneiss,Barren,3560.61,184.17,331.34
0,16.73,322.64,1663.0,2.33,5.648,1502.9,-0.071,Cambisols,Phyllite,Barren,1101.54,221.42,347.72
1,35.69,204.17,1904.0,-3.357,6.324,2108.3,0.317,Cambisols,Schist,Builtup,161.15,77.69,2523.19
0,31.99,166.96,2094.0,-2.198,5.26,1502.9,0.74,Luvisols,Schist,Scrub,1274.91,1294.5,6046.67
0,25.82,28.92,1268.0,-0.475,6.126,1812.7,0.692,Luvisols,Limestone,Forest,653.15,65.23,8274.7
0,54.49,106.01,5454.0,-1.002,5.867,1132.9,0.209,Regosols,Gneiss,Grassland,1780.52,112.02,13053.8
1,36.23,226.57,794.0,-1.126,6.188,1845.5,0.953,Cambisols,Shale,Forest,1733.46,489.24,1555.77
1,24.26,108.39,1098.0,-4.158,6.902,2279.6,0.871,Leptosols,Phyllite,Scrub,105.03,79.99,7246.64
0,16.82,343.37,928.0,-2.831,7.034,2087.3,0.549,Regosols,Sandstone,Agriculture,1924.64,154.48,3072.98
0,16.45,298.3,3890.0,1.631,5.004,1132.9,-0.064,Cambisols,Granite,Barren,3765.12,1137.54,2633.94
0,26.93,19.73,3301.0,2.446,5.373,1270.7,0.574,Leptosols,Schist,Forest,14268.08,2672.85,1543.76
0,16.3,319.04,2148.0,-0.615,5.515,1529.6,0.713,Leptosols,Limestone,Scrub,11.26,595.43,5251.76
0,15.52,199.43,1049.0,-0.586,6.473,2087.3,0.915,Cambisols,Sandstone,Forest,2058.84,647.17,1649.72
1,27.19,351.93,1195.0,-3.276,7.274,2041.1,0.435,Luvisols,Sandstone,Agriculture,363.55,44.35,35.75
0,28.2,315.72,939.0,-3.365,6.697,2238.0,0.767,Regosols,Shale,Scrub,31.2,115.28,3352.98
0,3.18,354.3,236.0,0.403,7.871,1618.8,0.421,Fluvisols,Alluvium,Agriculture,370.35,168.69,4250.66
0,1.64,162.53,276.0,0.168,8.497,1333.1,0.466,Cambisols,Alluvium,Agriculture,86.84,999.66,926.37
0,40.95,98.01,1761.0,1.745,6.639,1680.2,0.364,Cambisols,Granite,Agriculture,114.2,163.44,585.11
0,38.09,231.93,1591.0,1.725,4.824,1939.8,0.815,Leptosols,Shale,Scrub,1510.55,1069.65,5877.06
0,25.08,333.68,929.0,1.562,6.028,2345.3,0.766,Luvisols,Sandstone,Scrub,1589.55,568.88,2435.42
0,57.87,245.77,1662.0,-3.472,4.491,2429.7,1.0,Cambisols,Schist,Forest,2110.94,609.14,989.26
0,25.35,216.2,862.0,-1.54,8.128,1804.3,0.947,Regosols,Conglomerate,Forest,933.1,356.94,4277.4
0,31.12,277.76,1190.0,-1.177,5.418,1809.4,0.646,Regosols,Sandstone,Forest,975.4,218.79,4806.22
0,21.81,247.55,1270.0,0.82,,1873.8,0.71,Regosols,Sandstone,Forest,4925.77,340.94,644.48
0,20.1,123.29,982.0,-1.281,5.049,2087.3,0.887,Cambisols,,Scrub,2908.29,158.04,329.94
0,18.16,76.99,1946.0,1.424,6.198,1954.2,0.79,Regosols,Phyllite,Forest,1977.69,576.64,197.94
1,33.27,239.52,3345.0,-0.236,6.422,1782.4,0.543,Leptosols,Schist,Forest,478.45,288.62,342.49
0,19.71,87.89,3661.0,-1.431,4.941,1429.8,0.581,Cambisols,Quartzite,Forest,5611.88,566.0,2307.78
0,28.98,109.05,723.0,-2.187,7.299,2345.3,0.829,Cambisols,Conglomerate,Forest,2586.75,362.03,1793.88
0,17.82,332.2,987.0,-1.304,7.606,2195.0,0.996,Cambisols,Sandstone,Forest,1946.97,122.82,1010.29
0,33.66,160.59,2272.0,2.118,4.669,1310.2,0.084,Leptosols,Gneiss,Barren,1553.21,1017.49,298.43
0,19.25,77.86,1189.0,-1.271,6.009,1845.5,1.0,Luvisols,Sandstone,Forest,438.47,807.82,484.06
1,20.52,329.81,1012.0,0.013,5.498,1873.8,0.238,Regosols,Sandstone,Builtup,195.83,615.77,183.34
0,25.1,280.07,878.0,-0.559,3.803,1964.3,0.947,Luvisols,Quartzite,Forest,1769.62,662.41,2897.16
1,33.81,44.94,1639.0,1.065,5.117,2279.6,0.482,Regosols,Granite,Agriculture,612.35,326.51,1589.31
0,19.24,196.8,4904.0,-4.861,9.306,1371.6,-0.4,Glacier,Schist,Barren,3212.42,97.92,1211.88
0,28.04,248.77,1309.0,0.065,5.125,1979.2,-0.028,,Quartzite,Barren,1218.02,1850.53,4351.08
0,23.95,95.63,1225.0,-2.029,6.845,1873.8,0.745,Cambisols,Sandstone,Scrub,1843.63,18.53,6031.5
0,18.72,151.48,731.0,0.252,5.448,2000.6,0.327,Regosols,Conglomerate,Agriculture,625.36,883.0,1744.51
0,29.43,277.68,2539.0,0.273,5.846,1502.9,0.701,Luvisols,Phyllite,Forest,109.65,272.61,6719.01
0,57.6,61.09,1105.0,1.832,4.145,2087.3,0.753,Cambisols,Conglomerate,Forest,91.44,468.91,10261.69
0,13.62,97.89,1858.0,2.207,3.541,1761.1,0.951,Cambisols,Schist,Forest,810.01,1979.26,2429.73
0,31.64,0.33,3107.0,-0.575,5.053,2108.3,0.914,Leptosols,Phyllite,Forest,805.54,589.6,8745.68
1,37.89,49.43,1395.0,1.772,7.06,2429.7,0.649,Leptosols,Schist,Scrub,1253.22,74.22,3404.51
0,16.69,259.91,4428.0,-3.001,5.925,1459.2,-0.151,Leptosols,Gneiss,Barren,4437.65,725.76,1269.52
1,33.15,326.9,680.0,1.134,6.181,2433.2,0.782,Cambisols,Sandstone,Forest,688.77,127.98,320.49
1,8.34,200.97,1286.0,0.634,5.927,2288.3,0.431,Cambisols,Phyllite,Agriculture,425.06,387.17,830.01
0,32.52,344.96,2279.0,0.034,4.236,1352.4,0.98,Regosols,Phyllite,Forest,475.82,565.51,288.87
0,35.65,22.1,1727.0,0.322,2.648,2108.2,0.741,Luvisols,Quartzite,Forest,787.63,588.87,4053.73
1,34.6,149.97,1733.0,-7.136,8.077,2108.2,0.484,Luvisols,Phyllite,Agriculture,1360.44,98.41,386.36
1,36.71,251.96,3078.0,-1.129,6.303,1459.2,-0.282,Leptosols,Granite,Barren,7545.54,28.0,11454.94
0,19.55,27.01,3052.0,-0.773,7.012,2108.2,0.891,Cambisols,Limestone,Forest,3201.86,776.17,2508.61
0,5.75,168.42,592.0,-0.955,6.533,1333.1,0.575,Fluvisols,Alluvium,Agriculture,248.55,316.92,4090.47
0,4.0,73.72,355.0,-0.498,7.287,1333.1,0.752,Cambisols,Alluvium,Agriculture,117.33,1164.85,18725.46
0,29.22,332.08,1538.0,1.558,3.552,2195.0,0.458,Regosols,Sandstone,Agriculture,1137.92,720.72,581.87
0,10.42,209.17,307.0,0.341,4.174,1333.1,0.354,Fluvisols,Alluvium,Agriculture,8.64,606.49,22360.16
1,35.11,205.39,1319.0,-2.947,5.927,2288.3,-0.293,Regosols,Schist,Water,652.18,152.76,266.9
1,21.45,177.48,1458.0,1.059,6.636,2200.5,0.858,Cambisols,Phyllite,Scrub,185.57,810.29,4195.34
0,37.8,165.76,2945.0,5.287,3.577,1132.9,0.575,Cambisols,Granite,Grassland,4021.7,1863.19,1791.05
0,28.09,139.8,3770.0,-1.546,6.205,1514.4,0.322,Cambisols,Gneiss,Grassland,1555.45,87.2,3559.68
1,19.29,8.39,1941.0,2.429,4.848,1939.8,0.649,Cambisols,Phyllite,Agriculture,64.33,680.42,14925.31
1,33.46,258.34,2532.0,-0.814,3.774,2108.2,0.84,Luvisols,Limestone,Forest,2542.07,1514.74,1961.46
1,33.19,258.39,1451.0,-1.774,6.365,1455.6,0.506,Cambisols,Schist,Agriculture,751.57,385.88,2361.38
0,19.58,90.67,643.0,0.622,5.007,2345.3,0.817,Cambisols,Shale,Agriculture,5.95,328.55,3376.46
1,29.38,317.16,1130.0,3.552,3.976,2151.2,0.67,Leptosols,Shale,Agriculture,683.75,1801.4,3376.15
1,31.99,130.46,229.0,0.398,7.003,2301.9,0.926,Leptosols,Phyllite,Forest,2268.06,56.92,1477.08
0,8.63,357.25,483.0,-0.387,9.168,1845.5,0.879,Cambisols,Sandstone,Forest,3017.53,27.1,769.01
0,41.35,320.77,4219.0,0.462,4.881,1235.5,0.508,Leptosols,Schist,Grassland,2535.34,434.6,34474.75
0,28.96,275.17,4585.0,-1.199,5.776,1245.1,0.116,Leptosols,Schist,Grassland,2574.52,149.19,2563.52
0,22.28,210.74,1381.0,0.453,6.734,2345.3,0.95,Luvisols,Shale,Forest,3054.98,48.93,3002.12
1,43.82,327.81,1828.0,2.239,5.089,2429.7,0.634,Regosols,Phyllite,Scrub,5349.17,257.59,260.21
0,21.74,81.22,5296.0,1.591,4.697,1213.9,-0.137,Cambisols,Schist,Barren,519.62,458.57,2233.79
0,35.32,2.24,504.0,-0.723,7.674,1845.5,0.707,Cambisols,Shale,Scrub,204.99,237.94,6392.27
0,38.31,130.52,5148.0,1.672,4.824,1459.2,0.4,Leptosols,Granite,Grassland,4384.98,159.83,1371.84
0,32.31,184.56,2079.0,2.43,4.969,2151.2,0.303,Leptosols,Phyllite,Barren,424.71,1529.96,237.48
0,0.83,-1.0,458.0,-0.146,10.175,1618.8,0.565,Cambisols,Alluvium,Agriculture,40.49,617.89,10597.84
